Kategori;Ad;Yorum;islemci;hafiza;Kalite;Batarya;Ortalama;Genel_Ortalama;Sonuc
Bilgisayar;Lenovo IdeaPad Gaming 3 AMD Ryzen 5 ;Beklediðimden çok daha kaliteli, bir iki güncel oyun denedim sorunsuz çalýþýyor. Fiyatýnýn çok çok ötesinde bir cihaz. Tavsiye ederim;5;5;5;5;5;4.8;Olumlu
Bilgisayar;Lenovo IdeaPad Gaming 3 AMD Ryzen 5 ;"Çok memnunum. Ben youtube kanalýmdaki video çekimleri ve editleri için; oðullarým da oyun tasarýmý için kullanýyor. Zarif ve hýzlý bir cihaz. Pil ömrü 6 saatin üzerinde, elbette kullanýma da baðlý olacaktýr, tavsiye ederim.";5;5;5;5;5;4.8;Olumlu
Bilgisayar;Lenovo IdeaPad Gaming 3 AMD Ryzen 5 ;Ürünü aldýktan sonra yarým saat geçmeden kargoya verildi ve ertesi gün elimdeydi. Hýzýnýz için teþekkürler. Piyasa koþullarýna göre uygun fiyata yüksek performanslý bir laptop. Þimdilik herhangi bir sorunla karþýlaþmadým.;5;5;5;5;5;4.8;Olumlu
Bilgisayar;Lenovo IdeaPad Gaming 3 AMD Ryzen 5 ;Fiyatýna göre harika bir notebook. Çok araþtýrarak aldým. Çok memnunum.;5;5;5;5;5;4.8;Olumlu
Bilgisayar;Lenovo IdeaPad Gaming 3 AMD Ryzen 5 ;uzun süreli kullaným için almýþtým. ürün ihtiyaçlarýmý fazlasý ile karþýladý. donaným olarak oldukça içi. ýsýnma donma kasma vs gibi durumlar yok. gönül rahatlýðý ile alýnabilir.;5;5;5;5;5;4.8;Olumlu
Bilgisayar;Lenovo IdeaPad AMD Ryzen 7 ;24 saat içinde ulaþtý. teþekkürler.;5;5;5;5;5;4.8;Olumlu
Bilgisayar;Lenovo IdeaPad AMD Ryzen 7 ;Baþarýlý ürün. Güvenilir satýcý.;5;5;5;5;5;4.7;Olumlu
Bilgisayar;Lenovo IdeaPad AMD Ryzen 7 ;Tam bir fiyat performans ürünü;5;5;5;5;5;4.7;Olumlu
Bilgisayar;Lenovo IdeaPad AMD Ryzen 7 ;Çok memnun kaldým çok teþekkürler herkese tavsiye ederim;5;5;5;5;5;4.7;Olumlu
Bilgisayar;Lenovo IdeaPad AMD Ryzen 7 ;Tarif edilemez. Mükemmel;5;5;5;5;5;4.7;Olumlu
Bilgisayar;Lenovo IdeaPad AMD Ryzen 7 ;Süper;5;5;5;5;5;4.7;Olumlu
Bilgisayar;Lenovo IdeaPad AMD Ryzen 7 ;Bilgisayarý 3 aydýr kullanýyorum ve genel anlamda memnunum. Þarj süresine gelecek olursak, Lenovo müþteri hizmetlerini arayarak statik elektriðini aldýktan sonra, 2 saatlik süre bende 4,5 saate çýktý. Denemenizi tavsiye ederim.;5;5;5;5;5;4.7;Olumlu
Bilgisayar;HP 15SFQ2045NT ;Ürün hafif ince görüntü ses iyi. Ram 3200 ram olarak geldi. Gayet akýcý. Ses driverini hp driver programýndan güncellemeniz lazým. windows kurulumu için dell tuþuna basýp flashý gösterip kurabilirsiniz malesef ilk etapta kendi touchpadi çalýþmýyor. wifiyi de görmedi. hp sitesinden realtek olaný indirdim kurdum çalýþtý. Tek eksiði bence usb çýkýþlarý birbirine çok yakýn usb belleði ve fareyi ayný anda takamadým. Ürün plastik ama daha iyisi için minimum 1000 lira daha fazla vermek gerekiyor. Gerek görmedim. Bu fiyat aralýðýnda baþarýlý bir ürün.;5;5;5;5;5;4.6;Olumlu
Bilgisayar;HP 15SFQ2045NT ;Arkadaþlar ürünü vpbiliþimden aldým ayný gün kargolandý.Freedos yükleme için f10 tuþu ile biosa giriyorsunuz.Sürücü bulunamadý þeklinde uyarý görürseniz HP Support ta internete baðlanýp girerek pc model nosu ile depolama driverý indirip windows 10 kurulum usb nize kurun sonra laptopa takarak usbnizdeki FD6 klasörüne týklayýn ve laptopa depolama sürücüsünü kurun.Sonrasýnda sorunsuz bir þekilde windows 10 kurulumunuz tamamlanacaktýr.;5;5;5;5;5;4.6;Olumlu
Bilgisayar;HP 15SFQ2045NT ;Ýntel i3 iþlemci var 256 ssd hdd Bence gayet baþarýlý bir cihaz Ev kullanimi icin cok cok yeterli Tavsiye ederim Windows 7 desteklemiyor Windows 10 kurdum mecburen;5;5;5;5;5;4.6;Olumlu
Bilgisayar;HP 15SFQ2045NT ;Gönül rahatligi ile alabilirsiniz. Bu fiyat aralýðýnda alýnabilecek fiyat performans ürünüdür. Alan arkadaþlarýn en çok merak ettiklerini konu olduðunu düþündüðüm ram konusundaki deðerlendirmemiz yapayým. Öncelikle 4gm ram sakýn takýlmayýn. Ram takviyesi ile üst düzey makine oluyor. Bana gelen 4 gb ram 3200 mhz olaný geldi.  8 gb Kingston 2666 mhz ram taktým. Dual oldular 12 gb sorunsuz super hýzla çalýþmakta. Hata vermiyor. Pc iþlemci  2666mhz desteklediði için 3200 mhzli bi ram almanýza hiç gerek yok.;5;5;5;5;5;4.6;Olumlu
Bilgisayar;HP 15SFQ2045NT ;ürün dün elime geçti, bu fiyata þu an için daha iyisi yok bence. önemli bir detay þu: anakarta lehili ram yok yani 2 adet ram slotu var. bunlarýn birisinde 4GB ram takýlý geliyor diðeri ise boþ. ileride ister 1 adet 4GB ilave edin ya da komple 2x8GB ile dwðiþtirin. bir çok pahalý modelde bile olmayan bir özellik bu.;5;5;5;5;5;4.6;Olumlu
Bilgisayar;HP 15SFQ2045NT ;Muhasebe bürosunda çalýþmaktayým Edefter gönderirken yada evrak iþlerken takýlma sorunu yaþamamak için bu pc den aldým, ofiste yada evde eðitim için kullanacaksýnýz güzel bir laptop i52450 2,5 iþlemcili pcden kat kat hýzlý, bunun yanýnda fullhd ekran 4k videolarý duraksatmadan akýcý þekilde izlemenize olanak sunuyor. Laptopra vga çýkýþý olmadýðý için dönüþtürücü kullandýk çift ekran çalýþanlar için söylüyorum, bataryasý sabit batarya ama ýsýnma sorunu yok. Saðlýkla kalýn.;5;5;5;5;5;4.6;Olumlu
Bilgisayar;HP 15SFQ2045NT ;Ürünü özellikle freedos istedim. Oem le Windows etkinleþtirebiliyorsunuz zaten. Windows nasýl yükleyebileceðinizi internette çok rahat bulabilirsiniz. Ben öðretmenim ve sýnýfta kullanmak için aldým ihtiyaçlarýmý görüyor. Fiyat performans ürünü tavsiye ederim.;5;5;5;5;5;4.6;Olumlu
Bilgisayar;HP 15SFQ2045NT ;Muhteþem bir ürün. Bu fiyata kaçmaz. Baþta kaba eski laptopumuza alýþtýðýmýz için sanki cep bilgisayarý gibi geldi. Lakin ekranlar 15'6 inch ayný boyda. Hp çok ince þýk vezarif olduðu için küçük gibi geliyor.ekran harika. Teþekkür ederiz. Kargolama normal sürede kendi orijinal kutusu ile geldi. Ayrýca paketlenmemiþ;5;5;5;5;5;4.6;Olumlu
Bilgisayar;HP 15SFQ2045NT ;Kýzým için aldýk  özellikle  bilgisayarý  VP bileþimden  alýn hiç sorun  yasamazsiniz. Bizim aldýðýmýz  ürünün  kamerasý  fabrikasyon hatalý  cýktý ve VP  biliþim  çok  yardýmcý  oldu  ve þimdi yenisini  gönderiyorlar .Sattiklari malýn arkasýndalar. Çok teþekkür ederiz ilginiz için. Hepsiburada,  VP BÝLÝÞÝM  VE HP       ;5;5;5;5;5;4.6;Olumlu
Bilgisayar;HP 15SFQ2045NT ;Selamlar. Almadan once yorumlari okudum ve herkes memnun kalmis bende aldim. Gercekten fiyat performans urunu. Windows kurulumu 3buçuk dakikada bitti çok hizli. Ekran kalitesi cok guzel. Hafif ve kucuk gorunuyor. Klavyesi plastik biraz ses yapiyor ses kalitesi iyi. Oneririm;5;5;5;5;5;4.6;Olumlu
Bilgisayar;HP 15SFQ2045NT ;Almadan önce çok araþtýrdým. Ekran kalitesi süper. 8 sn’de açýlýyor. Wireless tanýtýldýktan sonra Hp support asistanla herþey kuruluyor. Çok hafif. Kesinlikle alýnacak bir bilgisayar. Garanti 1 yýl 9 ay gösteriyor Hp support asistanda. Hp’yi aradým, düzelttiklerini ve 1 haftada görebileceðimi söylediler.;5;5;5;5;5;4.6;Olumlu
Bilgisayar;HP 15SFQ2045NT ;beklediðimden çok çok iyi bir ürün geldi. Ben mi beklentiyi çok düþürdüm bilemedim ama iyiki almýþým. Tek sýkýntý garanti 1 yýl 4 ay kaldý görünüyor bakalým Hp müþteri hizmetlerini bir arayalým bakalým ne diyecekler;5;5;5;5;5;4.6;Olumlu
Bilgisayar;HP 15SFQ2045NT ;Ürün þýk ve beklediðimden daha hýzlý. Windows yüklemek biraz zor. Windowsu yüklerken SSD'yi görmüyor. Flash beleðe Intel® Rapid Storage Technology (RAID) yazýlýmýný atmanýz gerekiyor. Gözattan bu yazýlý mý bulup, ssd yükleyin.Daha sonra sürücüler gözüküyor. Fiyat / performans olarak iyi. Tavsiye ederim.;5;5;5;5;5;4.6;Olumlu
Bilgisayar;HP 15SFQ2045NT ;Yeni kullanýyoruz ofiste bence Ofis ve dersler için ideal yeterli þu an sýkýntý yok çok hýzlý geldi kargo ve satýcýya teþekkür tavsiye ederim;5;5;5;5;5;4.6;Olumlu
Bilgisayar;HP 15SFQ2045NT ;Donaným ve pc den anlarým.Alýrken 4 gb ram in az geleceðini ve bir 4 gb daha eklerim diye düþündüm.Fiyat performans süper bir ürün.Tafsiye ederim.;5;5;5;5;5;4.6;Olumlu
Bilgisayar;HP 15SFQ2045NT ;Bu fiyat bandýnda alýnabilecek en iyi ve tek seçenek bu daha iyi bi alternatif olmasýný geçtim karþýlaþtýrma yapýlabilecek bir baþka cihaz bile yok.;5;5;5;5;5;4.6;Olumlu
Bilgisayar;HP 15SFQ2045NT ;Hýzlý teslimat ve bilgisayarda epey hýzlý kamerasý sesi net.Windows usb kurulumunda hardiski görmez ise IRST_Intel_18.0.1.1138_W10x64_A dosyasýný googleden bulup windows usbsi içine koyun yükleme yerinden gözattan bu dosyayý seçince hardiski görür.Ýlerde windows güncellemesini çýkarýnca buna gerek kalmayabilir.;5;5;5;5;5;4.6;Olumlu
Bilgisayar;HP 15SFQ2045NT ;Ürün fiyatýna göre en iyisi. Ufak bir ram takviyesiyle canavar oldu, çok memnunum.;5;5;5;5;5;4.6;Olumlu
Bilgisayar;HP 15SFQ2045NT ;Bilgisayar f/p ürünüdür. 1 haftadýr kullanýyorum. Ekran kartý olmamasýna raðmen 8k Hdr videolarý donmadan kasmadan izletti helal olsun. Bu tabi internet hýzýnýza da baðlý. Diyecek biþey yok. 4 GB ram takviyesi yapýlýrsa oyun bile oynanýr.;5;5;5;5;5;4.6;Olumlu
Bilgisayar;HP 15SFQ2045NT ;tam bir f/p ürünü iþlemcisi yeterli. ssd çok iyi ekran kalitesi yeterli klavye görünümü biraz basit elimde bulunan g serisi hp ile kýyas edince çok fark var ama dediðim gibi fiyat açýsýndan uygun. kurulum yapmadan önce sürücüleri sitesinden indirin zira touchpad bile tanýmýyor yanýnýzda bir adet mous bulundurun. kurulum zaten birkaç dakika sürüyor.;5;5;5;5;5;4.6;Olumlu
Bilgisayar; Dell Vostro 3501 ;Bilgisayar elime bugün ulaþtý. Ilk izlenimlerime göre görüntü kalitesi harika. Ekraný eðip bükmeye gerek kalmýyor parlaklýk sorunu yok her açýdan net gözüküyor. Sesi harika. Çok yüksek çýkýyor . Gündelik ev okul iþlerine uygun bir bilgisayar. Tatmin edeceðini düþünüyorum. Hepsiburadaya teþekkürler :);5;;;;5;4.8;Olumlu
Bilgisayar;Acer Swift SF31442 ;Sessiz çalýþýyor. Ekran parlaklýðý ve renk üretim miktarý daha fazla olmalýydý. Fiyatýna göre iyi.;5;;;;5;4.7;Olumlu
Bilgisayar;Acer Swift SF31442 ;Hafýza haric, 10 numara;5;;;;5;4.7;Olumlu
Bilgisayar;Asus TUF FX506LIHN085 ;Görüntü bakýmýndan ve þarj hýzý bakýmýndan ve ayrýca hýzlý teslimat geldiði için hepsibhrada baþkaný olmak üzere herkesin emeði geçenler için çok teþekkür ederim saygýlarýmla.;5;;;;5;4.6;Olumlu
Bilgisayar;Asus TUF FX506LIHN085 ;HepsiJET berbatlýðý hariç her þey çok iyi.;5;;;;5;4.6;Olumlu
Bilgisayar;Asus TUF FX506LIHN085 ;Ürün ertesi gün geldi ve çok güzel paketlenmiþ mükemmel koruma. Pc kasasý plastik monster kasasý kalitesinde ama fan çok iyi ses çok iyi kullaným çok iyi fiyat performas olarak kesinlikle tavsiyedir.;5;;;;5;4.6;Olumlu
Bilgisayar;Lenovo V15IIL ;Leptobu okul için aldým. Her ihtiyacýmý karþýlayacaðýný düþünüyorum. Oyun bilgisayarý olmadýðýný göz önünde bulundurarak, oyun oynayýnca çok fazla ýsýnýyor. Ayrýca þarj süresi 6saat üstü denmiþ ama max 3 saat hatta oyun oynayýnca þarjdan bile çýkarmýyorum çok hýzlý bitiyor. Çok hafif, kolay taþýnabilir. Dýþ kaplamasý çok kaliteli deðil ama bu hafiflik saðlýyor. 1 haftadýr kullanýyorum þimdilik memnunum.;5;;;;5;4.6;Olumlu
Bilgisayar;Lenovo V15IIL ;fiyat ve kalite olarak gerçekten güzel bir makina üniversite baþlayan bir çocuðu 5 yýl kesintisiz götürür.;5;;;;5;4.6;Olumlu
Bilgisayar;Lenovo IdeaPad AMD Ryzen 7 ;Beklentilerimi karþýladý.;5;5;5;4;4.75;4.7;Olumlu
Bilgisayar;Asus D509DAEJ887 ;cihaz tasarým olarak çok þýk þarjý uzun süre dayanýyor.Gundelik iþler için gayet yeterli ve sessiz fakat oyun oynamayý düþünen almasýn csgo düþük ayarlar 30 fps zor alýyor. 4gb ram cihaza yetmiyor kesinlikle fakat genel olarak f/p cihazý ve malzeme kalitesi güzel;5;4;5;5;4.75;4.6;Olumlu
Bilgisayar;Asus D509DAEJ887 ;Özelliklerinde belirtilmesine karþýn özellikle parmak izi okuyucu bulundurmasý çok hoþuma gitti. Hepsiburada satýcýsý aldým ve 2 günde teslim edildi. Hýz,kalite ve estetik bakýmýndan tavsiye ederim. Fiyatý Hepsiburada satýcýsýnda daha uygundu ve fiyatýna göre vadedilenleri fazlasýyla veriyor.;5;4;5;5;4.75;4.6;Olumlu
Bilgisayar;Lenovo V15 ;Kamerasý berbat  bataryasý çok çabuk biyiyor. Diðer özellikleri ramý iþlemcisi iyi. Yani bir yerden çalýp biryere vermiþler.;5;4;5;5;4.75;4.6;Olumlu
Bilgisayar;Lenovo V15 ;Ürünün sürücülerini farklý bir bilgisayardan Lenovo adresine girerek indirmek gerekiyor. Wifi kartýný bile Windows 10 üzerinde tanýmýyor. Ethernet çýkýþý da olmadýðý için, yanýnýzda baþka bilgisayar yoksa zor durumda kalabilirsiniz. Önceden seri numarasý ile girip indirerek bütün sürücüleri hazýr etmenizde fayda var. Klavyede ýþýklandýrma olsaydý güzel olabilirdi. Bunlarýn dýþýnda fiyat performans bilgisayarý.;5;4;5;5;4.75;4.6;Olumlu
Bilgisayar;Lenovo IdeaPad 3 AMD Ryzen 7 3700U ;TN panel olduðuna dikkat etmeden almýþtým. Ha dikkat etsem almaz mýydým yine alýrdým. Ýþlemci güzel saðlýklý ,fanlar sessiz ,klavye harika (keþke alttan ýþýklý olsaydý) ,tasarým þýk ,hafif ,batarya video izlerken 5 saat gidiyor idare eder. Görüntü kalitesi cidden bir týk daha iyileþtirilebilirmiþ ama çok film dizi ya da iþiniz görüntüyle deðilse gayet yeterli ve ideal.;5;4;5;5;4.75;4.6;Olumlu
Bilgisayar; BilgisayarILife Zed Air CX3 ;ürünü kardeþime aldým ubuntuyu çözmek ilk baþta biraz zordu biseyler kurarken zorlanabilirsiniz 1500 2500 tl civarindaki laptoplara göre özellikeri güzel ekran kalitesi kendi 4 5 bin tl lik laptopumdan daha iyi flim izlemek biþeyler deplomak için ideal bir laptop;5;4;5;5;4.75;4.1;Olumlu
Bilgisayar; BilgisayarILife Zed Air CX3 ;Urune ssd takarsaniz mukemmel olur. Yorumlarda bir arkadas ram taktim demis. Bir yanlisi var. Cihazda ram slotu yok. Anakarta gomulu ramlari var. Ram arttirimi yapamazsiniz. Bunu bilerek alin. Sadece hdd degistirebilirsiniz.;5;4;5;5;4.75;4.1;Olumlu
Bilgisayar;Lenovo IdeaPad 5 AMD Ryzen 7 5700U ;Tam bir f/p ürünü, parasýný hak ediyor, ofis kullanýmý için ideal. Oyun oynanmaz ama.;5;4;5;5;4.75;4.6;Olumlu
Bilgisayar;Lenovo IdeaPad 5 AMD Ryzen 7 5700U ;Fiyatýna göre gerçekten güzel bir ürün.;5;4;5;5;4.75;4.6;Olumlu
Bilgisayar;Lenovo IdeaPad AMD Ryzen 7 ;Bilgisayarda tüm testleri gerçekleþtirdim. Sea of Thieves gibi aðýr bir oyunda max ayarlarda 60100 fps arasý veriyor. Ýþlemci sýcaklýðý fanýn düzeni iyi seçilince max 80 derece görüyor. Sonra fan çalýþýnca 72 derece civarýna sabitliyor. Bilgisayarýn dahili ekran kartý bile günümüzdeki ekran kartlarýnýn çoðundan daha iyidir. Ýþlemci Prime95 testinde 90 dereceyi görmedi. Fan hýzlanýnca kendini rahat soðutuyor. Parlaklýðý hafif düþük kalabilir. Benim tercihimdeki en büyük etken þýk duruþuydu.;5;5;4;4;4.5;4.7;Olumsuz
Bilgisayar;Lenovo IdeaPad AMD Ryzen 7 ;Çok araþtýrdýktan sonra lenovo kalitesini tercih ettiðim için doðru karar vermiþim... Bilgisayarýn iþlemci hýzý ve ekran kartý bence yeterli... Isýnma konusunda herhangi bir sorunu yok bu konuda da fikrim hangi bilgisayarý alýrsanýz alýn mutlaka belli bir ýsýya ulaþacaktýr çünkü iþlemci ve ekran kartlarý artýk çok iyi seviyede...;5;5;4;4;4.5;4.7;Olumsuz
Bilgisayar;Lenovo IdeaPad AMD Ryzen 7 ;Ürünü teknortak adlý satýcýdan aldým çarþamba öðlen aldým ayný gün kargoya verildi. Cuma günü elime ulaþtý. Yurtiçi kargoya teþekkür ediyoruz. Ürün orijinal kapalý kutusunda geldi. Þimdilik memnun olmadýðým bir yaný yok.;5;5;4;4;4.5;4.7;Olumsuz
Bilgisayar;Lenovo IdeaPad AMD Ryzen 7 ;Sipariþten 1 gün sonra ürün elime ulaþtý. Kullaným rahatlýðý ve donanýmsal özellikleri gerçekten çok güzel. Daha önce de yýllarca lenovo kullandýðým için gözüm kapalý aldým, iyi ki almýþým dedim kullanmaya baþladýðýmda. Hepsiburadaya teþekkürler.;5;5;4;4;4.5;4.7;Olumsuz
Bilgisayar;Lenovo IdeaPad AMD Ryzen 7 ;Coil whine olayý var benimkinde de. Sanýrým çok sýk rastlanýyor bu üründe. Þuan rahatsýz edecek düzeyde deðil. Zaten internetten araþtýrdýðýma göre belli bý ses seviyesinin üzerinde çýkýyorsa ses, garantiye gönderip deðiþtirtebiliyorsunuz sanýrým. Yine de Lenovo yetkilisine sormanýzda yarar var. 12 hafta araþtýrdým laptop almak için ve bu ürün rastladýðým en iyi üründü (istediðim fiyat aralýðýnda 89k). Bataryasý belki istediðiniz gibi uzun gitmiyor olabilir ben zaten prizde kullanýyorum arada bir çýkarýyorum. Teslimat olarak en kötü aldýðým hizmet oldu. Ama bu benim þansým ve yoðunluktan dolayý. 7 gün sürdü laptopu teslim almam. Coil whine sizin için sorun deðilse çok güzel bir ürün parasýna fazlasýyla deðecek bir ürün olduðunu söyle olurum.;5;5;4;4;4.5;4.7;Olumsuz
Bilgisayar;Lenovo IdeaPad AMD Ryzen 7 ;premier pro ve after effects kullanmak için aldým ve ikisini de sýkýntýsýz kullanabiliyor ayrýca video renderlarken de performansý gayet iyi ve hýzlý. Þarjý iþlemcisinden dolayý çok fazla gitmiyor fakat iþlemci hýzý gerektirmeyen kullanýmlarda bazý þeyleri kapatarak daha uzun kullanabilir. Bir de ekran parlaklýðý pek yeterli gelmedi bana.;5;5;4;4;4.5;4.7;Olumsuz
Bilgisayar;Lenovo IdeaPad AMD Ryzen 7 ;kýzýma hediye aldým. þarj süresinin biraz kýsa olmasý dýþýnda çok beðendik. kýzým sürekli oyun yüklüyor, donmadan ve hýzlý yükleyip oynayabiliyor.;5;5;4;4;4.5;4.7;Olumsuz
Bilgisayar;Lenovo IdeaPad AMD Ryzen 7 ;Ürünü 3 aydýr kullanýyorum güzel kaliteli, belli isim yapmýþ markalardan daha ucuz. Ayrýca lenovo eskiden gerçekten çok ýsýnýrdý ama artýk öyle bir sýkýntý kalmamýþ. Bataryasý biraz kýsa süre dayanýyor onun dýþýnda belirgin bir sýkýntý yaþamadým.;5;5;4;4;4.5;4.7;Olumsuz
Bilgisayar;Lenovo IdeaPad AMD Ryzen 7 ;oyun ve ofis iþleri için ideal bir ürün. Daha çok ofis aðýrlýklý çalýþýyorsanýz yeni çýkan 5000 U serisi iþlemcili notebooklar daha uygun olacaktýr.;5;5;4;4;4.5;4.7;Olumsuz
Bilgisayar;Lenovo IdeaPad AMD Ryzen 7 ;Ürün gerçekten güzel, indirime denk gelince aldým hemen;5;5;4;4;4.5;4.7;Olumsuz
Bilgisayar; Dell Vostro 3501 ;Ürünü efsane cuma indiriminden aldým. Emsallerine göre fiyatý çok uygundu. Laptop'un özelliklerine gelirsek, oyun oynamak deðil de internette araþtýrma, basit excel dosyalarý oluþturmak vs. için biçilmiþ kaftan. 10. nesil i3 iþlemci ve 8 gb RAM ile laptop'u efektif bir þekilde herhangi bir kasma yaþamadan 5 sene rahatlýkla kullanabilirsiniz. 1080p video çözünürlüðe sahip olmasý da çok iyi bir özellik. Laptop'u televizyona yansýttýðýnýzda görüntü kalitesi 1080p olarak kalýyor. Hepsiburada Canlý Yardým'daki arkadaþýn ýþýklý klavye mevcut demesine raðmen laptop'da ýþýklý klavye maalesef yok. 1 yýldýzý bu sebeple kýrýyorum.;5;4;5;4;4.5;4.8;Olumsuz
Bilgisayar;Acer Swift SF31442 ;Alüminyum kasa olmasý iyi. Hýzlý. Movavi uygulamasý ile video düzenleme için ideal. Eþim öðretmen ve canlý ders için kullanacak. Harddisk biraz daha yüksek kapasiteli olsa iyi olurdu ancak önemli deðil. Ýleride arttýrýlabilir.;5;4;5;4;4.5;4.7;Olumsuz
Bilgisayar;Acer Swift SF31442 ;Fiyatýna göre güzel ürün malzeme kaliteside iyi;5;4;5;4;4.5;4.7;Olumsuz
Bilgisayar;Acer Swift SF31442 ;Ülke ekonomisinde uygun bütçeye alma þansýmýz olan laptoplarý sýralarsak rahatlýkla söyleyebilirim ki ilk 3 ürün arasýna girer. Tabi oyun oynamak için alýyorsanýz kesinlikle tavsiye etmem günümüzde kaliteli bir oyun deneyimi için en az 1213 bin lirayý gözden çýkarmanýz gerekir. Ben çalýþmak dizi izlemek gibi iþlevler için aldým. Batarya ömrü gayet iyi 89 saat götürüyor çokta hýzlý þarj almakta gerek iç donanýmý gerek dýþ tasarýmý gayet þýk hafif yapýlmýþ iþlemcisi gayet iyi ve hýzlý parmak izi çalýþýyor SSD olmasý da avantaj fakat 128 GB hafýza uzun solukta gerçekten problem olmakta ve benim için laptoptaki tek eksiklik.. dýþýnda mükemmel bir ürün tavsiye ediyorum...;5;4;5;4;4.5;4.7;Olumsuz
